CVE_ZM,ZM,CVE_MUN,MUN,POB,MC,CF,DIST_CC,PRM_TMUN,PRM_TMUNC,PRM_TOTROMUN,PEM_RMUN,PEM_TMUNC,PEM_ROTROMUN,PACNA,PACNPRIM,DMU,DZC-ZM,PZC-ZM,PNDUyOT,TIPO_MUN,AÑO
51,Zona metropolitana de Minatitlán,30089,Jáltipan,39673,0,0,1.4,71.5,15.3,13.2,87.2,6.4,6.5,*,84.1,39.7,0,0,0,2,2010
47,Zona metropolitana de Veracruz,30090,Jamapa,10376,0,0,17.6,72.9,18.1,9,81.9,15,3.1,*,80.7,33.9,1,0,0,3,2010
48,Zona metropolitana de Xalapa,30093,Jilotepec,15313,0,0,2.6,46.9,48,5,86.8,8.2,5.1,*,80,39.3,1,1,0,2,2010
50,Zona metropolitana de Orizaba,30099,Maltrata,16898,0,0,8.6,73,20.4,6.6,91.7,6.7,1.6,*,76.8,33.7,0,0,0,2,2010
50,Zona metropolitana de Orizaba,30101,Mariano Escobedo,33941,1,1,0,51,40.6,8.4,88.2,8,3.9,*,72.1,106,1,1,1,1,2010
47,Zona metropolitana de Veracruz,30105,Medellín,59126,0,0,2.6,62.9,33.2,4,91.3,5.1,3.7,*,90.3,65.9,1,1,0,2,2010
51,Zona metropolitana de Minatitlán,30108,Minatitlán,157840,1,1,0,88.3,2.6,9.2,68,19.7,12.3,*,82.7,58.8,1,1,1,1,2010
50,Zona metropolitana de Orizaba,30115,Nogales,34688,1,1,0,53.4,39.3,7.3,74.7,20.4,4.9,*,84.9,58.5,1,1,1,1,2010
54,Zona metropolitana de Acayucan,30116,Oluta,14784,0,0,0.8,55.1,33.1,11.8,81.2,11,7.9,*,91.4,48.4,0,0,0,2,2010
50,Zona metropolitana de Orizaba,30118,Orizaba,120995,1,1,0,84.1,9.1,6.9,55.4,35.2,9.3,*,98.9,81.6,1,1,1,1,2010
51,Zona metropolitana de Minatitlán,30120,Oteapan,14965,1,1,0,42.1,44.4,13.5,87.8,7.9,4.3,*,93.3,18.1,0,0,0,1,2010
42,Zona metropolitana de Tampico,30123,Pánuco,97290,1,1,0,88.5,7.1,4.4,93.1,4.2,2.6,*,73.1,40.7,1,1,1,1,2010
